City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,jamestown,US,78.44,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
4,vaini,TO,74.84,light rain,-21.2,-175.2,Keleti Beach Resort
12,pontianak,ID,73.38,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
13,sungairaya,ID,78.62,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
14,nago,JP,75.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
15,albany,US,84.92,scattered clouds,42.6001,-73.9662,
18,kavieng,PG,82.13,broken clouds,-2.5744,150.7967,Nusa Island Retreat
20,hilo,US,83.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,rikitea,PF,77.38,overcast clouds,-23.1203,-134.9692,People ThankYou
32,avarua,CK,81.16,overcast clouds,-21.2078,-159.775,Paradise Inn
35,faanui,PF,81.5,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
41,victoria,HK,77.95,light rain,22.2855,114.1577,Mini Central
43,zhuhai,CN,76.78,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
44,pacific grove,US,78.55,clear sky,36.6177,-121.9166,Lovers Point Inn
48,lagos,NG,84.52,overcast clouds,6.5833,3.75,
49,maputo,MZ,73.22,clear sky,-25.9653,32.5892,Pestana Rovuma
54,arraial do cabo,BR,73.54,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
60,butaritari,KI,80.67,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
64,kahului,US,81.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
65,atuona,PF,78.93,broken clouds,-9.8,-139.0333,Villa Enata
71,mandera,KE,85.39,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
72,puerto leguizamo,CO,75.97,overcast clouds,-0.1934,-74.7819,la casona de juancho
81,seminole,US,87.42,broken clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
82,charagua,BO,78.42,clear sky,-19.8,-63.2167,Hotel
84,goure,NE,89.37,clear sky,13.9835,10.2704,
