City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,lompoc,US,2022-05-13 20:59:03,34.6391,-120.4579,93.34,53,0,21.99,clear sky
1,jamestown,US,2022-05-13 20:55:05,42.097,-79.2353,78.44,50,75,14.97,broken clouds
2,bredasdorp,ZA,2022-05-13 21:00:04,-34.5322,20.0403,55.36,74,79,7.2,broken clouds
3,ushuaia,AR,2022-05-13 20:56:02,-54.8,-68.3,42.46,93,75,10.36,broken clouds
4,vaini,TO,2022-05-13 21:00:05,-21.2,-175.2,74.84,65,39,18.34,light rain
5,punta arenas,CL,2022-05-13 21:00:05,-53.15,-70.9167,44.11,70,100,8.28,overcast clouds
6,mataura,NZ,2022-05-13 21:00:06,-46.1927,168.8643,52.48,97,100,2.51,overcast clouds
7,tasiilaq,GL,2022-05-13 21:00:08,65.6145,-37.6368,24.89,66,42,1.57,scattered clouds
8,carnarvon,AU,2022-05-13 21:00:09,-24.8667,113.6333,64.58,62,0,19.39,clear sky
9,juan lacaze,UY,2022-05-13 21:00:10,-34.4342,-57.4381,62.11,64,100,4.05,overcast clouds
10,mahebourg,MU,2022-05-13 21:00:10,-20.4081,57.7,70.25,72,24,11.27,few clouds
11,whitehorse,CA,2022-05-13 21:00:07,60.7161,-135.0538,44.46,68,48,7.07,scattered clouds
12,pontianak,ID,2022-05-13 21:00:10,-0.0333,109.3333,73.38,100,100,3.44,light rain
13,sungairaya,ID,2022-05-13 21:00:11,0.7,108.9,78.62,82,100,4.52,overcast clouds
14,nago,JP,2022-05-13 21:00:12,26.5881,127.9761,75.63,93,100,7.74,overcast clouds
15,albany,US,2022-05-13 20:56:53,42.6001,-73.9662,84.92,50,30,4.0,scattered clouds
16,mar del plata,AR,2022-05-13 20:57:23,-38.0023,-57.5575,57.94,83,100,4.61,overcast clouds
17,fortuna,US,2022-05-13 21:00:12,40.5982,-124.1573,63.91,80,100,8.05,overcast clouds
18,kavieng,PG,2022-05-13 21:00:13,-2.5744,150.7967,82.13,73,70,10.4,broken clouds
19,coquimbo,CL,2022-05-13 21:00:13,-29.9533,-71.3436,60.91,76,0,6.82,clear sky
20,hilo,US,2022-05-13 20:57:17,19.7297,-155.09,83.28,80,26,10.0,scattered clouds
21,dikson,RU,2022-05-13 21:00:14,73.5069,80.5464,32.97,98,100,14.34,light snow
22,port alfred,ZA,2022-05-13 20:58:56,-33.5906,26.891,62.33,79,58,11.95,broken clouds
23,yellowknife,CA,2022-05-13 20:55:43,62.456,-114.3525,59.52,33,40,17.27,scattered clouds
24,upernavik,GL,2022-05-13 21:00:15,72.7868,-56.1549,19.36,81,26,1.48,scattered clouds
