City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-05-11 19:48:21,-23.1203,-134.9692,77.54,81,6,20.42
1,Lebu,CL,2022-05-11 19:46:59,-37.6167,-73.65,57.02,69,100,4.29
2,Bambous Virieux,MU,2022-05-11 19:49:29,-20.3428,57.7575,75.45,88,40,4.61
3,Coihaique,CL,2022-05-11 19:49:08,-45.5752,-72.0662,47.01,76,0,0.0
4,Mar Del Plata,AR,2022-05-11 19:49:30,-38.0023,-57.5575,57.22,74,0,12.66
5,Mataura,NZ,2022-05-11 19:49:30,-46.1927,168.8643,51.48,94,12,2.93
6,Bartica,GY,2022-05-11 19:49:31,6.4,-58.6167,89.92,65,90,5.53
7,Port Alfred,ZA,2022-05-11 19:49:31,-33.5906,26.891,61.61,77,0,9.19
8,Oruro,BO,2022-05-11 19:49:31,-17.9833,-67.15,61.29,27,20,6.91
9,Cidreira,BR,2022-05-11 19:49:32,-30.1811,-50.2056,63.72,77,44,14.83
10,Kosovo Polje,XK,2022-05-11 19:49:32,42.6394,21.0961,60.76,55,0,3.44
11,Busselton,AU,2022-05-11 19:49:33,-33.65,115.3333,57.06,91,100,16.33
12,Saint-Augustin,CA,2022-05-11 19:49:33,51.226,-58.6502,56.32,34,85,28.36
13,Bengkulu,ID,2022-05-11 19:49:34,-3.8004,102.2655,77.83,89,81,10.89
14,Kapaa,US,2022-05-11 19:49:34,22.0752,-159.319,80.58,80,75,18.41
15,Victoria,HK,2022-05-11 19:48:40,22.2855,114.1577,80.65,92,100,15.01
16,Mount Isa,AU,2022-05-11 19:49:34,-20.7333,139.5,64.17,82,75,10.36
17,Kaduqli,SD,2022-05-11 19:49:35,11.0167,29.7167,89.19,36,96,3.24
18,Hermanus,ZA,2022-05-11 19:48:32,-34.4187,19.2345,58.3,79,0,6.31
19,Senneterre,CA,2022-05-11 19:49:35,48.3835,-77.2328,75.33,47,44,4.65
20,Dudinka,RU,2022-05-11 19:49:36,69.4058,86.1778,29.62,98,100,12.12
21,Derbent,RU,2022-05-11 19:45:38,42.0678,48.2899,53.89,74,100,8.39
22,Souillac,MU,2022-05-11 19:49:36,-20.5167,57.5167,75.58,88,40,4.61
23,Hobart,AU,2022-05-11 19:47:35,-42.8794,147.3294,50.05,92,100,3.0
24,Boden,SE,2022-05-11 19:49:37,65.8252,21.6886,39.2,91,66,2.57
25,Hasaki,JP,2022-05-11 19:49:37,35.7333,140.8333,59.4,88,95,6.71
26,Qaanaaq,GL,2022-05-11 19:48:49,77.484,-69.3632,17.6,77,5,4.99
27,Papetoai,PF,2022-05-11 19:49:38,-17.4961,-149.8729,81.99,76,0,18.5
28,Puerto Ayora,EC,2022-05-11 19:49:38,-0.7393,-90.3518,82.36,89,47,5.01
29,Atuona,PF,2022-05-11 19:49:39,-9.8,-139.0333,78.78,69,0,18.21
30,Huanan,CN,2022-05-11 19:49:39,46.2167,130.5167,40.89,66,4,4.43
31,Flinders,AU,2022-05-11 19:49:40,-34.5833,150.8552,62.38,93,100,4.0
32,Kodiak,US,2022-05-11 19:49:41,57.79,-152.4072,51.31,30,0,11.5
33,Metes,RO,2022-05-11 19:49:41,46.1,23.4167,56.43,77,96,3.22
34,Yellowknife,CA,2022-05-11 19:45:06,62.456,-114.3525,36.12,64,75,4.61
35,Vaini,TO,2022-05-11 19:48:29,-21.2,-175.2,71.76,83,75,11.5
36,Vallenar,CL,2022-05-11 19:49:42,-28.5708,-70.7581,77.02,33,34,5.82
37,Oga,IT,2022-05-11 19:49:42,46.4631,10.347,59.68,99,85,2.17
38,Patacamaya,BO,2022-05-11 19:49:42,-17.2333,-67.9167,55.87,21,59,4.61
39,Castro,BR,2022-05-11 19:48:15,-24.7911,-50.0119,64.22,75,25,4.25
40,Punta Arenas,CL,2022-05-11 19:49:43,-53.15,-70.9167,50.02,71,0,3.44
41,Saint-Philippe,RE,2022-05-11 19:49:43,-21.3585,55.7679,76.59,82,33,3.76
42,Sambava,MG,2022-05-11 19:49:44,-14.2667,50.1667,75.67,86,75,3.89
43,Kajaani,FI,2022-05-11 19:49:44,64.2273,27.7285,44.65,93,75,6.91
44,Ushuaia,AR,2022-05-11 19:47:46,-54.8,-68.3,53.26,50,75,16.11
45,Zhoucheng,CN,2022-05-11 19:49:45,35.9122,116.3117,57.7,78,67,3.09
46,Clyde River,CA,2022-05-11 19:49:45,70.4692,-68.5914,21.43,93,75,26.46
47,Tasiilaq,GL,2022-05-11 19:49:46,65.6145,-37.6368,28.56,72,94,1.99
48,Aswan,EG,2022-05-11 19:50:46,24.0934,32.907,92.5,12,0,8.05
49,Vostok,RU,2022-05-11 19:50:46,46.4856,135.8833,41.34,94,100,5.91
50,Sumbe,AO,2022-05-11 19:50:47,-11.2061,13.8437,75.49,88,73,2.73
51,Nikolskoye,RU,2022-05-11 19:49:24,59.7035,30.7861,49.8,97,100,3.91
52,Cape Town,ZA,2022-05-11 19:50:03,-33.9258,18.4232,54.91,86,0,4.61
